Time,BTC_total_value,Fiat_total_value,GRS,BTC,VTC,FTC,DGB,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513617118,0.0009868485222995,18.365,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617188,0.0009873773783353,18.366,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617253,0.0009859091864171002,18.336,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617324,0.0009873950078457,18.356,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617397,0.0009878636809796,18.366,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617460,0.000988103621363,18.377,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617524,0.000988479132544,18.359,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617587,0.0009860596228681,18.316,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617657,0.0009879337721508997,18.324,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617720,0.0009901182336819,18.366,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
1513617782,0.000988886468623,18.348,0.18381197,1.866e-05,0.22332384000000002,5.949735629999999,67.47665358,1.859e-05,0.00276281,0.06249967,0.01256144,0.17891316,0.33175540000000003,0.036498459999999996,0.0060374700000000005
