Time,BTC_total_value,Fiat_total_value,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513707231,0.0014627990834785,26.977,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707297,0.0014614853477525,26.911,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707361,0.0014552521285285999,26.752,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707427,0.0014522925262837,26.686,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707491,0.0014536229156110999,26.642,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707560,0.0014448797001539002,26.382,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707631,0.0014440271775227002,26.376,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707696,0.0014374122152884,26.178,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707761,0.0014257948478337999,26.026,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707824,0.0014203523149687,25.944,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707888,0.0014067438281609,25.761,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707951,0.0014029247721179998,25.762,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513708015,0.0014062223715074996,25.872,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
