Time,BTC_total,Fiat_total,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513981983,0.0034289695,49.544,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982047,0.0034354420828128   ,49.657,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982112,0.003431949175171399 ,49.651,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982177,0.0034302019,49.646,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982241,0.0034279545,49.49 ,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982306,0.0034396867695449   ,49.68 ,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982372,0.0034234897,49.672,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982438,0.0034239329,49.764,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982505,0.0034340036278931   ,50.006,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982573,0.0034278396234816   ,50.036,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982640,0.0034239066777372   ,50.045,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982708,0.0034233393163236   ,50.08 ,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982774,0.0034266020891365   ,50.166,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513982840,0.003427705228251    ,50.281,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
